book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1889_reed-sir-ludar,70,"['armada', 'prosper', 'glyns', 'hugh', 'henley', 'misericorde', 'alexander', 'jesuit', 'tyrone', 'englishmen', 'welshman', 'ushant', 'timothy', 'scotch', 'brentford', 'orpheus', 'tyburn', 'dutchman', 'hercules', 'thames', 'parnassus', 'scots', 'senor', 'kingston', 'ark', 'laker', 'hush', 'dublin', 'pope', 'hillo', 'gravelines', 'tritons', 'babington', 'frenchman', 'captain merriman', 'master robert walgrave', 'sir don', 'tom price', 'sir john', 'captain desmond', 'master humphrey', 'alexander mcdonnell', 'master peter', 'jack gedge', 'sir poet', 'will peake', 'sir captain', 'lord mayor', 'master dexter', 'peter stoupe', 'don alonzo', 'her majesty', 'master walgrave', 'sir knight', 'master barker', 'sir john perrott', 'humphrey dexter', 'lord deputy', 'sorley boy mcdonnell', 'timothy ryder', 'john wolfe', 'master winter', 'sir ludar', 'sorley boy', 'sir william carleton', 'sir william', 'turlogh luinech oneill', 'master udal', 'fleet ditch', 'master penry']",20,"['elizabeth', 'benmore', 'jeannette', 'bann', 'sassenach', 'grace', 'rata', 'aphrodite', 'judy', 'ramore', 'queen mary', 'rose oneill', 'taise taobhgheal', 'ludar mcsorley mcdonnell', 'ludar mcdonnell', 'mistress walgrave', 'lady cantire', 'ludar mcsomhairle buidhe mcdonnell', 'whereupon ludar', 'temple bar']",13,"['spaniards', 'castleroe', 'smithfield', 'dunluce', 'knocklayd', 'glenshesk', 'moulsey', 'turlogh', 'raughlin', 'londonwards', 'killybegs', 'bonandonnye', 'finsbury fields']",male
1890_ballantyne-the-eagle-cliff,34,"['duncan', 'bob', 'eddie', 'shames', 'saviour', 'john', 'roderick', 'blackie', 'junkie', 'archie', 'nimrod', 'ramjee', 'donald', 'chand', 'doan', 'pershad', 'mac', 'dick', 'james', 'giles', 'allan', 'captain mcpherson', 'old salt', 'robin tips', 'john barret', 'allan gordon', 'mr gordon', 'raj mungul', 'giles jackman', 'bob mabberly', 'loch lossie', 'chand moorut', 'mr jackman', 'james mcgregor']",21,"['hindoo', 'mowla', 'flo', 'joan', 'tonal', 'musha', 'aggy', 'molly', 'maggie', 'aggy anderson', 'mrs anderson', 'cuzn miwy', 'miss moss', 'eagle cliff', 'milly moss', 'eagle point', 'mowla buksh', 'mrs donaldson', 'mrs gordon', 'pat quin', 'cousin milly']",6,"['kinlossie', 'drumquaich', 'bulrampore', 'tonalson', 'rodereek', 'macrummle']",male
1891_reed-roger-ingleton-minor,41,"['ceylon', 'gustav', 'bishop', 'signor', 'dr', 'schumann', 'compton', 'boulogne', 'amsterdam', 'tom', 'yeld', 'raffles', 'tommy', 'teddy', 'parker', 'hodder', 'cyclops', 'hamlet', 'maxfield', 'frenchman', 'squire', 'captain edward oliphant', 'robert ratman', 'paul ingleton', 'mr pottinger', 'mr fastnet', 'jack rogers', 'squire ingleton', 'roger ingleton', 'captain oliphant', 'mr armstrong', 'cousin edward', 'frank armstrong', 'maxfield manor', 'monsieur rosencrantz', 'deputy assistant', 'tom oliphant', 'master roger', 'dr brandram', 'monsieur callow', 'monsieur callot']",19,"['oriana', 'catherine', 'madame', 'ratty', 'providence', 'francoise', 'robbins', 'ruth', 'christy', 'jilly', 'mademoiselle', 'miss rosalind', 'mrs ingleton', 'miss isabel', 'auntie eva', 'miss oliphant', 'miss rosalind oliphant', 'miss jill', 'miss marigold']",2,"['polonius', 'pantalzar']",male
1893_reed-the-cock-house-at-fellsgarth,42,"['virgil', 'bob', 'blackstone', 'wilson', 'cicero', 'tommy', 'geo', 'moderns', 'fullerton', 'calder', 'd', 'ranger', 'wilcox', 'underwood', 'ridgway', 'joey', 'clapperton', 'cot', 'balbus', 'alf', 'dalton', 'gamble', 'alfred', 'classics', 'corder', 'robert', 'classic', 'modern', 'brinkman', 'whereupon wally', 'master fisher', 'whereupon fisher', 'dr ringwood', 'whereupon percy', 'cecil yorke', 'whereupon rix', 'master rollitt', 'master ashby', 'mr forder', 'percy wheatfield', 'wally wheatfield', 'master percy']",9,"['cottle', 'dangle', 'darcy', 'ramshaw', 'mrs stratton', 'farmer gay', 'widow wisdom', 'my john', 'mrs wisdom']",7,"['shargle', 'fellsgarth', 'wakefields', 'penchurch', 'abernethys', 'hawkswater', 'whereupon ashby']",male
1893_stevenson-catriona,61,"['firth', 'picardy', 'alexander', 'duncan', 'hebrew', 'ou', 'gae', 'hout', 'neil', 'doig', 'gillane', 'bass', 'dean', 'alpin', 'james', 'robin', 'dunkirk', 'rotterdam', 'tod', 'tom', 'dutchman', 'scots', 'cluny', 'anster', 'argyle', 'macgregor', 'whigs', 'alan', 'alban', 'appin', 'berwick law', 'james drummond', 'mr drummond', 'tod lapraik', 'dauvit balfour', 'mr campbell', 'lord justice clerk', 'mr davie', 'mr balfour', 'james more', 'david balfour', 'lord advocate', 'captain palliser', 'leith walk', 'sim fraser', 'mr stewart', 'charles stewart', 'mungo campbell', 'mr david', 'james stewart', 'alan breck', 'mr simon', 'mr gebbie', 'simon fraser', 'mr david balfour', 'grey eyes', 'sheriff miller', 'charlie stewart', 'king george', 'captain sang', 'prince charlie']",24,"['tam', 'catriona', 'shaws', 'lovat', 'fidra', 'andie', 'annie', 'ness', 'providence', 'catrine', 'bazin', 'katrine', 'sandie', 'peden', 'miss barbara', 'miss grant', 'andie dale', 'alison hastie', 'lady grange', 'tam stobo', 'miss drummond', 'barbara grant', 'tam dale', 'sandie sprott']",25,"['silvermills', 'rankeillor', 'whig', 'palfour', 'dirleton', 'gregara', 'glenure', 'essendean', 'duncansby', 'balwhidder', 'hielantman', 'hoseason', 'helvoet', 'limekilns', 'bohaldie', 'allardyce', 'pilrig', 'scougal', 'balwhither', 'drummossie', 'colstoun', 'lovats', 'glengyle', 'heineccius', 'prestongrange']",male
1894_collingwood-the-cruise-of-the-esmeralda,32,"['jack', 'richards', 'joe', 'cooper', 'valparaiso', 'erard', 'richard', 'oconnor', 'roberts', 'hugh', 'swede', 'barr', 'rogers', 'bill', 'pacific', 'george', 'dennis', 'san domingo', 'captain clarke', 'captain saint leger', 'sir edgar', 'bill longman', 'joe martin', 'richard saint leger', 'saint leger', 'misther forbes', 'sir edgar desmond', 'san francisco', 'captain thomson', 'george moore', 'saint legers', 'captain baker']",8,"['esmeralda', 'agnes', 'christianssen', 'nellie', 'lady desmond', 'miss merrivale', 'lady emily', 'golden gate']",0,[],male
1894_kipling-the-jungle-book,31,"['kerick', 'mowgli', 'teddy', 'darzee', 'amir', 'bandar', 'shiv', 'baloo', 'rikk', 'kotick', 'tabaqui', 'billy', 'matkah', 'dick', 'mang', 'brumby', 'wolf pack', 'gray brother', 'sea cow', 'master words', 'black panther', 'jungle law', 'big toomai', 'kerick booterin', 'black snake', 'little brother', 'father wolf', 'petersen sahib', 'black toomai', 'sea catch', 'sea vitch']",21,"['nagaina', 'rama', 'mao', 'hathi', 'chua', 'messua', 'rikki', 'nathoo', 'kaa', 'bagheera', 'vixen', 'akela', 'rann', 'bonnie dundee', 'machua appa', 'shere khan', 'poison people', 'kala nag', 'lone wolf', 'mother wolf', 'little toomai']",13,"['patalamon', 'keddahs', 'cawnpore', 'limmershin', 'pudmini', 'zaharrof', 'lungri', 'sambhur', 'karait', 'buldeo', 'chuchundra', 'burgomaster', 'seeonee']",male
1894_reed-a-dog-with-a-bad-name,49,"['euston', 'bacon', 'phipps', 'appleby', 'walker', 'caesar', 'jeff', 'kandahar', 'driver', 'homer', 'benjamin', 'raby', 'frampton', 'timothy', 'jeffrey', 'cad', 'teddy', 'ranger', 'jonah', 'freddy', 'tim', 'john', 'mason', 'eton', 'paddington', 'james ii', 'storr alley', 'mr halgrove', 'mr rosher', 'mr rimbolt', 'ash cottage', 'john jeffreys', 'boat race', 'farmer rosher', 'captain forrester', 'master percy', 'gerard forrester', 'percy rimbolt', 'mr freshfield', 'major atherton', 'mr julius', 'wild pike', 'jonah trimble', 'cad jeffreys', 'mr fison', 'black sal', 'lord waterfield', 'mr wilkins', 'uncle rimbolt']",14,"['polly', 'kennedy', 'annie', 'farrar', 'mary', 'louisa', 'mrs scarfe', 'mrs trimble', 'mrs rimbolt', 'mrs pratt', 'mother partridge', 'mrs wilcox', 'miss atherton', 'mrs jessop']",7,"['farfield', 'wildtree', 'overstone', 'grangerham', 'pridger', 'sharpenholme', 'wellmere']",male
1894_reed-tom-dick-and-harry,32,"['evans', 'tom', 'thomas', 'roman', 'cicero', 'tommy', 'sal', 'walsh', 'trim', 'faulkner', 'tike', 'hush', 'graham', 'sharpe', 'jimmy', 'whew', 'dangerfield', 'jarman', 'parkin', 'caesar', 'quin', 'dux', 'hector', 'dick', 'dicky', 'muskett', 'thomas jones', 'master trimble', 'captain rymer', 'dangerfield college', 'dr plummer', 'dicky brown']",17,"['firefly', 'gladys', 'lang', 'purkis', 'annie', 'tempest', 'sarah', 'mrs redwood', 'miss mamie', 'miss gwen', 'mrs jones', 'mrs smiley', 'low heathens', 'low heath', 'low heathen', 'miss steele', 'miss bousfield']",10,"['rackstraw', 'rammage', 'selkirker', 'philosophers', 'langrish', 'pridgin', 'jorrocks', 'crofter', 'fallowfield', 'coxhead']",male
1895_collingwood-the-pirate-slaver-a-story-of-the-west-african-coast,30,"['jack', 'atlantic', 'wasp', 'bates', 'jose', 'armstrong', 'ryan', 'harry', 'pedro', 'bartlett', 'roberts', 'krumen', 'simpson', 'freddy', 'matadi', 'jerry', 'william', 'cape palmas', 'captain mendouca', 'senor lobo', 'don fernando', 'mr pierrepoint', 'shark point', 'great britain', 'chango creek', 'captain stopford', 'senor mendouca', 'freddy pierrepoint', 'senor dugdale', 'joe maxwell']",9,"['francesca', 'somers', 'mouette', 'felicidad', 'havana', 'anegada', 'banana peninsula', 'banana creek', 'banana point']",3,"['ogowe', 'barracouta', 'boolambemba point']",male
