book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1902_meade-girls-of.the-forest,21,"['jack', 'punch', 'jones', 'henry', 'homer', 'tom', 'plato', 'padre', 'harry', 'paulie', 'glengarry', 'virgil', 'paddy', 'john', 'farmer king', 'professor mahaffy', 'mr dale', 'henry dale', 'harry carver', 'mr king', 'fiddler joe']",39,"['barberry', 'briar', 'adelaide', 'alice', 'betty', 'nance', 'amy', 'becky', 'lurcher', 'nancy', 'lucy', 'nellie', 'rebecca', 'verena', 'braes', 'josephine', 'catherine', 'helen', 'ye banks', 'miss penelope', 'miss sophia', 'miss sophy', 'nellie carver', 'aunt sophia', 'aunt sophy', 'miss renny', 'miss pen', 'becky perkins', 'pauline dale', 'amy perkins', 'briar dale', 'penelope dale', 'sophia tredgold', 'aunty sophy', 'annie laurie', 'miss tredgold', 'miss patty', 'miss pauline', 'miss marjorie']",3,"['easterhaze', 'rosestairs', 'mauleverer wolverhampton']",female
1886_leslie-a-sailors-lass,4,"['bob', 'coomber', 'jack', 'mr west']",2,"['tiny', 'tilly']",0,[],female
1911_nesbit-the-wonderful-garden-oir-the-three-cs,8,"['rupert', 'edward', 'jacob', 'great uncle charles', 'lord andore', 'uncle percival', 'uncle charles', 'uncle william']",8,"['caro', 'caroline', 'charlotte', 'miss sandal', 'aunt emmeline', 'aunt emmie', 'dame eleanour', 'miss peckitt']",0,[],female
1912_potter-the-tale-of-mr-tod,1,['mr tod'],0,[],0,[],female
1897_molesworth-miss-mouse-and-her-boys,12,"['bob', 'hec', 'caryll', 'gervais', 'archie', 'ger', 'hector', 'justin', 'mr hervey', 'uncle ted', 'caryll place', 'bob crag']",7,"['jus', 'pat', 'miss mouse', 'miss ward', 'miss rosamond', 'aunt mattie', 'mith mouse']",1,['whitcrow'],female
1906_molesworth-jasper,18,"['roley', 'jap', 'winton', 'reginald', 'evans', 'lewis', 'maynard', 'dad', 'japs', 'mums', 'chris', 'dads', 'daddy', 'morris', 'sir percy', 'jasper greville', 'master jasper', 'dr wilkins']",20,"['lelly', 'lell', 'fanny', 'harriet', 'auntie', 'lily', 'mummy', 'christabel', 'mumsey', 'susan', 'edith', 'poor jasper', 'miss leila', 'aunt margaret', 'miss greenall', 'miss earle', 'mrs fortescue', 'poor chrissie', 'poor nurse', 'mrs greenall']",1,['seabay'],female
1888_burnett-little-saint-elizabeth-and-other-tales,4,"['rochemont', 'jem', 'uncle bertrand', 'mr claus']",4,"['flora', 'jane', 'aunt hetty', 'miss baby']",0,[],female
1904_nesbit-the-phoenix-and-the-carpet,15,"['robert', 'panther', 'bobs', 'urb', 'squirrel', 'garrick', 'bosh', 'jack', 'septimus', 'cyril', 'lamb', 'henri', 'roman', 'high priest', 'uncle reginald']",17,"['parme', 'eliza', 'easter', 'daisy', 'tatcho', 'manon', 'anthea', 'luz', 'persian', 'beautiful phoenix', 'miss selina', 'aunt selina', 'mrs prosser', 'miss amelia', 'miss peasmarsh', 'aunt emma', 'mrs biddle']",3,"['jevonses', 'psammead', 'bozwoz']",female
1873_ewing-a-flat-iron-for-a-farthing,9,"['bowles', 'leo', 'rubens', 'regie', 'babel', 'cadman', 'mr mackenzie', 'sir lionel', 'master reginald']",10,"['polly', 'adeline', 'frances', 'frances chislett', 'aunt maria', 'lady damer', 'missis bundle', 'miss burton', 'nurse bundle', 'sister alice']",0,[],female
1904_potter-the-tale-of-benjamin-bunny,0,[],0,[],0,[],female
1870_ewing-the-brownies-and-other-tales,17,"['angel', 'deor', 'jim', 'thomas', 'jack', 'tommy', 'granny', 'noah', 'johnnie', 'mr jones', 'farmer swede', 'johnnie green', 'guy fawkes', 'tommy trout', 'master sam', 'master macgreedy', 'mr brown']",12,"['puss', 'brownie', 'ramelia', 'so', 'tailor', 'brownies', 'miss rosa', 'miss letitia', 'mary meads', 'miss dot', 'miss amelia', 'aunt penelope']",4,"['macready', 'dowager', 'deordie', 'boggarts']",female
1902_everett_green-for-the-faith-a-story-of-the-young-pioneers-of-reformation-in-oxford,34,"['popes', 'wycliffe', 'christian', 'pope', 'sumner', 'john', 'arthur', 'tyndale', 'carfax', 'diet', 'godspeed', 'paul', 'hugh', 'udel', 'gloucester college', 'anthony anthony', 'robert ferrar', 'master thomas', 'master garret', 'arthur cole', 'master clarke', 'john clarke', 'lincoln college', 'hugh fitzjames', 'moor fields', 'master radley', 'martin luther', 'master dalaber', 'master cole', 'anthony dalaber', 'stephen radley', 'lord himself', 'thomas garret', 'cardinal wolsey']",8,"['easter', 'magda', 'higdon', 'freda', 'mistress magdalen', 'holy writ', 'magdalen college', 'freda langton']",2,"['stillyard', 'poghley']",female
1883_meade-the-childrens-pilgrimage,26,"['caen', 'dupois', 'pericard', 'norman', 'bordeaux', 'anton', 'charles', 'charlie', 'saviour', 'alphonse', 'frenchman', 'simon', 'paris', 'toby', 'joseph', 'john', 'joe barnes', 'mr moseley', 'lord jesus', 'maurice dalbert', 'simon watts', 'maurice maurice', 'john moseley', 'mr danvers', 'east end', 'mr preston']",31,"['beulah', 'arcachon', 'jean', 'mme', 'jane', 'pauline', 'rosalie', 'orne', 'lovedy', 'suzanne', 'madame', 'susie', 'molly', 'calais', 'mammie moseley', 'aunt fanny', 'lovedy lovedy joy', 'faubourg st', 'miss smith', 'aunt lydia purcell', 'missie cecile', 'mistress bell', 'poor joe', 'jean malet', 'cecile dalbert', 'lydia purcell', 'aunt lydia', 'missie mercy', 'miss cecile', 'lovedy joy', 'jane parsons']",2,"['moulleau', 'lunnon']",female
1905_potter-the-tale-of-the-pie-and-the-the-patty-pan,0,[],1,['ribby'],0,[],female
1887_peard-prentice-hugh,45,"['edgar', 'peter', 'hans', 'gascony', 'matthew', 'andrew', 'william', 'wolf', 'stephen', 'agrippa', 'dick', 'moll', 'henry', 'samson', 'roger', 'elyas', 'hal', 'jakes', 'denys', 'paul', 'hugh', 'john', 'richard allen', 'broad gate', 'hal crocker', 'stephen bassett', 'master dennis', 'robin bolton', 'ned parsons', 'master carver', 'william franklyn', 'sir thomas', 'roger brewer', 'john hamlyn', 'friar luke', 'tor mohun', 'king edward', 'bishop bitton', 'saint nicholas', 'friar nicholas', 'hugh bassett', 'master william pontington', 'master gervase', 'tor brewer', 'james alwyn']",16,"['mat', 'clyst', 'thomasin', 'eleanor', 'nell', 'anne', 'joan', 'dickon', 'alice', 'mistress judith', 'mistress tirell', 'dame edith', 'mistress prothasy', 'dame alicia', 'saint margaret', 'prentice wat']",5,"['edulf', 'kalendarhay', 'exminster', 'winchelsey', 'blagdon']",female
1898_everett_green-tom-tuftons-travels,30,"['savoy', 'absalom', 'freeman', 'lucifer', 'squire', 'wildfire', 'tory', 'curley', 'william', 'robin', 'addison', 'blenheim', 'hannibal', 'babylon', 'master tom', 'sir james montacute', 'tom tufton', 'marshal tallard', 'captain raikes', 'master cale', 'harry gay', 'slippery seal', 'captain jack', 'william long', 'her majesty', 'thirsty thring', 'lord claud', 'dicing dick', 'sir james', 'mr tufton']",7,"['tories', 'nell', 'rachel', 'rosamund', 'nell gwynne', 'queen anne', 'bully bullen']",3,"['gablehurst', 'wildgoose', 'gablethorpe']",female
1854_yonge-the-little-duke-richard-the-fearless,36,"['vige', 'arnulf', 'hugues', 'harald', 'abbot', 'walter', 'rollo', 'lothaire', 'carloman', 'squire', 'herluin', 'louis', 'montemar', 'rouen', 'laon', 'seneschal', 'bertrand', 'bayeux', 'montreuil', 'franks', 'senlis', 'alberic', 'danes', 'dane', 'frank', 'osmond', 'duke richard', 'duke william', 'father lucas', 'harald blue', 'hugh capet', 'count bernard', 'lord duke', 'brother hilary', 'lord richard', 'sir eric']",6,"['knight', 'fru', 'daneis', 'charlot', 'lady astrida', 'fru astrida']",3,"['epte', 'hardigras', 'centeville']",female
1901_nesbit-the-wouldbegoods,27,"['colonel', 'foulkes', 'cecil', 'albert', 'dentist', 'pincher', 'dickie', 'macaulay', 'mowgli', 'becket', 'tommy', 'dick', 'randall', 'danes', 'oswald', 'noel', 'dewar', 'roman', 'john', 'david copperfield', 'learned pig', 'plain pilgrim', 'canterbury pilgrims', 'stoneham lock', 'bill simpkins', 'magnet stories', 'white whiskers']",17,"['jane', 'eliza', 'daisy', 'dora', 'rose', 'polar', 'margaret', 'alice', 'kaa', 'martha', 'mrs pettigrew', 'daisy chain', 'nun priest', 'mrs simpkins', 'miss ashleigh', 'mrs blake', 'treasure seekers']",3,"['manciple', 'hazelbridge', 'bastables']",female
