book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
m\1857_hughes-tom-browns-school-days,71,"['bogle', 'christian', 'peter', 'slogger', 'davis', 'thomas', 'virgil', 'shakespeare', 'tennyson', 'swift', 'harry', 'holmes', 'gower', 'wratislaw', 'willum', 'benjy', 'toby', 'ridgeway', 'crab', 'noah', 'walker', 'robinson', 'diggs', 'ashdown', 'naaman', 'jem', 'squire', 'tommy', 'john', 'gray', 'martin', 'regulator', 'warner', 'tadpole', 'herbert', 'thorne', 'alfred', 'madman', 'jack', 'homer', 'flashman', 'geordie', 'groove', 'dobbin', 'johnson', 'griffith', 'devonshire', 'cooey', 'pusey', 'momus', 'angel', 'jacob', 'joe willis', 'master tom', 'jacob dodson', 'farmer ives', 'farmer thompson', 'squire brown', 'toby philpot', 'george arthur', 'madam brown', 'harry winburn', 'great western', 'master joe', 'jack raggles', 'mr benjamin', 'billy taylor', 'crab jones', 'tom brown', 'mr aislabie', 'slogger williams']",14,"['flashey', 'sally', 'helen', 'barby', 'shannon', 'snooks', 'brooke', 'elisha', 'bailey', 'charity', 'easter', 'mary', 'rachel', 'sally harrowell']",6,"['harkaway', 'hazeldown', 'velveteens', 'wellesburn', 'blawing stwun', 'gaarge ridler']",male
m\1858_ballantyne-martin-rattler,25,"['barney', 'baron', 'martin', 'til', 'rio', 'creator', 'sambo', 'carreo', 'grampus', 'bob', 'irishman', 'redeemer', 'negro', 'mr arthur jollyboy', 'minas geraes', 'martin rattler', 'mr carrymooroo', 'mr jollyboy', 'rio janeiro', 'barney oflannagan', 'padre caramuru', 'john ward', 'baron fagoni', 'bob croaker', 'senhor antonio']",6,"['amazon', 'firefly', 'juiz', 'dorothy grumbit', 'aunt dorothy', 'aunt dorothy grumbit']",2,"['naygur', 'negroes']",male
m\1858_farrar-eric-or-little-by-little,40,"['gibson', 'graham', 'ayrton', 'eddy', 'monty', 'wright', 'macbeth', 'duncan', 'barker', 'montagu', 'bull', 'jim', 'owen', 'brigson', 'roberts', 'charlie', 'vernon', 'carter', 'verny', 'horace', 'edwin', 'homer', 'billy', 'shakspeare', 'owenite', 'cesar', 'llewellyn', 'john', 'georgic', 'mr williams', 'mr ready', 'mr lawley', 'walter rose', 'charles wildney', 'edwin russell', 'eric williams', 'mr harley', 'vernon williams', 'maister davey', 'mr gordon']",12,"['roslyn', 'easter', 'fanny', 'pietrie', 'brie', 'brooking', 'ellan', 'jolly herring', 'poor eric', 'avon glen', 'poor williams', 'stormy petrel']",10,"['silverburn', 'avonley', 'coryphaeus', 'starhaven', 'attlay', 'fairholm', 'charlesbury', 'riverbend', 'bombastes furioso', 'kibroth hattaavah']",male
m\1861_hughes-tom-brown-at-oxford,41,"['arthur', 'kennington', 'sanders', 'joe', 'umbala', 'jones', 'henry', 'monsieur', 'barton', 'adam', 'solomon', 'farley', 'higgs', 'blake', 'saunders', 'sandford', 'simon', 'grange', 'jove', 'nibble', 'harry', 'david', 'raleigh', 'mr drysdale', 'mr brown', 'master tom', 'albert gate', 'rotten row', 'wessex freeman', 'mr east', 'van john', 'harry winburn', 'harry east', 'eaton square', 'mr schloss', 'master larry', 'her majesty', 'mr hardy', 'mr smith', 'mr grey', 'mr walker']",8,"['katie', 'chanter', 'oriel', 'patty', 'gipsy', 'miss winter', 'lady mary', 'temple bar']",5,"['steventon', 'lamentations', 'wurley', 'englebourn', 'englebourn common']",male
m\1862_farrar-st-winfreds-the-world-of-school,59,"['arthur', 'devil', 'dr', 'henderson', 'virgil', 'dimock', 'johnny', 'herodotus', 'charlie', 'danvers', 'harry', 'lane', 'semlyn', 'rex', 'elgood', 'macon', 'dante', 'arty', 'giles', 'coles', 'cradock', 'norman', 'plumber', 'hanley', 'mac', 'joshua', 'ken', 'walter', 'anthony', 'smythe', 'dubbs', 'bryce', 'dan', 'ra', 'jones', 'viscount', 'franklin', 'symes', 'halloa', 'famulus', 'paton', 'fuzby', 'edwards', 'uriel', 'augustus', 'howards', 'flip', 'harry kenrick', 'saint george', 'mr robertson', 'mr percival', 'howard tracy', 'sir lawrence power', 'dr keith', 'walter evson', 'mr noel', 'arthur eden', 'charlie evson', 'master daubeny']",14,"['amphion', 'raven', 'mud', 'achan', 'somers', 'shelley', 'bliss', 'mrs evson', 'saint win', 'poor daubeny', 'mrs daubeny', 'saint winifred', 'lady power', 'mrs kenrick']",9,"['blissidas', 'bardlyn', 'appenfell', 'typhoeus', 'harpour', 'noelites', 'hugginson', 'noelite', 'evides']",male
m\1863_ballantyne-fighting-the-whales,8,"['robert', 'bob', 'fred', 'neptune', 'bill', 'tom', 'tom lokins', 'bill blunt']",0,[],0,[],male
m\1863_kingsley-the-water-babies,0,[],0,[],0,[],male
m\1865_ballantyne-the-lighthouse,44,"['pharos', 'eddystone', 'jamie', 'smeaton', 'ralph', 'provost', 'joe', 'scott', 'tory', 'frenchman', 'badger', 'pup', 'wilson', 'starboard', 'strachan', 'bremner', 'davy', 'paddy', 'hush', 'ned', 'dalls', 'jacob', 'samson', 'mr stevenson', 'james dove', 'peter logan', 'long forsyth', 'uncle ogilvy', 'big swankie', 'ned oconnor', 'jock swankie', 'robinson crusoe', 'joe dumsby', 'captain ogilvy', 'jamie dove', 'robert stevenson', 'george forsyth', 'major stewart', 'john watt', 'robert selkirk', 'johnny gray', 'mr winstanley', 'eddystone lighthouse', 'davy spink']",11,"['termagant', 'janet', 'lindsay', 'ruby', 'maggie', 'lindsays', 'minnie', 'gaylet pot', 'ruby brand', 'minnie gray', 'miss gray']",2,"['arbrought', 'britons']",male
m\1865_carroll-alices-adventures-in-wonderland,10,"['mouse', 'knave', 'eaglet', 'lizard', 'hatter', 'panther', 'gryphon', 'father william', 'mock turtle', 'white rabbit']",9,"['dormouse', 'alice', 'pat', 'dinah', 'lory', 'mabel', 'mary ann', 'beautiful soup', 'cheshire cat']",0,[],male
m\1869_dickens-david-copperfield,90,"['adams', 'joe', 'shakespeare', 'mortimer', 'uriah', 'macbeth', 'william', 'bush', 'ury', 'grainger', 'joram', 'tommy', 'john', 'tom', 'brooks', 'charley', 'strap', 'doady', 'roman', 'jip', 'wilkins', 'francis', 'edward', 'tipp', 'tungay', 'thomas benjamin', 'mr waterbrook', 'than agnes', 'mr dick', 'mr barkis', 'mr omer', 'robinson crusoe', 'captain bailey', 'mr spiker', 'king charles', 'mr creakle', 'mr larkins', 'mr chestle', 'master david', 'mr wickfield', 'uriah heep', 'mr murdstone', 'mr mell', 'mr jack', 'number twenty seven', 'mick walker', 'mr james', 'mr spenlow', 'mr copperfull', 'tom jones', 'master micawber', 'james steerforth', 'scotch croesus', 'mr dixon', 'mr thomas traddles', 'doctor strong', 'mr jorkins', 'twenty eight', 'mr traddles', 'mr dolloby', 'mr mills', 'master davy', 'old tiffey', 'captain hopkins', 'mr tiffey', 'mr bodgers', 'mr maldon', 'uncle dan', 'mr quinion', 'thomas traddles', 'twenty seven', 'david copperfield', 'mr jack maldon', 'trotwood copperfield', 'mr david', 'mr littimer', 'red whisker', 'mr tidd', 'lord chancellor', 'suffolk punches', 'mr henry spiker', 'mr gulpidge', 'roderick random', 'lord mayor', 'jack maldon', 'mr sharp', 'mr peggotty', 'wilkins micawber', 'tommy traddles', 'gil blas']",48,"['beein', 'minnie', 'polly', 'rosa', 'sophy', 'martha', 'julia', 'sarah', 'clara', 'annie', 'markham', 'emma', 'emly', 'britannia', 'jane', 'missis gummidge', 'doctor mell', 'little blossom', 'betsey trotwood copperfield', 'emma micawber', 'miss dartle', 'miss betsey trotwood', 'miss lavinia', 'agnes wickfield', 'miss shepherd', 'jane murdstone', 'miss dora', 'sister lavinia', 'miss creakle', 'betsey trotwood', 'dora spenlow', 'mary anne', 'little tafflin', 'martha endell', 'miss agnes', 'miss micawber', 'mealy potatoes', 'miss betsey', 'julia mills', 'clara peggotty', 'little emily', 'ham peggotty', 'miss larkins', 'miss clarissa', 'miss trotwood', 'miss mowcher', 'sister clarissa', 'rosa dartle']",4,"['grinby', 'pidger', 'blackfriars', 'blunderstone rookery']",male
m\1870_hemyng-jack-harkaways-boy-tinker-among-the-turks,42,"['marseilles', 'turk', 'shitan', 'joe', 'frenchman', 'mogador', 'frankish', 'herbert', 'rook', 'clermont', 'tinker', 'prophet', 'frank', 'bluebeard', 'albatross', 'harry', 'allah', 'nat cringle', 'joe deering', 'mr harkaway', 'mr jack', 'mr chivey', 'young jack', 'mark antony figgins', 'captain gonzales', 'jack harkaway', 'uncle dick', 'kallum beg', 'mr velasquez', 'captain robinson', 'monsieur delamarre', 'doctor berteaux', 'captain willis', 'old jack', 'mr murray', 'mr mole', 'pierre lenoir', 'harry girdwood', 'dick harvey', 'mr figgins', 'herbert murray', 'captain deering']",7,"['bosja', 'lor', 'bogey', 'paquita', 'hocquart clermont delamarre', 'little emily', 'massa figgins']",3,"['jehanum', 'giaour', 'markby']",male
m\1871_carroll-through-the-looking-glass,16,"['jabberwock', 'tweedledee', 'bandersnatch', 'unicorn', 'gnat', 'addition', 'hush', 'tweedledum', 'hatta', 'goat', 'carpenter', 'humpty dumpty', 'white king', 'looking glass', 'red king', 'anglo saxon']",8,"['dinah', 'frog', 'daisy', 'fawn', 'kitty', 'red queen', 'queen alice', 'white knight']",1,['haigha'],male
m\1871_macdonald-at-the-back-of-the-north-wind,17,"['sal', 'joseph', 'durante', 'adam', 'jim', 'orion', 'herodotus', 'jack', 'john', 'bo peep', 'mr coleman', 'mr evans', 'mr raymond', 'mr dyves', 'mr north wind', 'mr stonecrop', 'little boy blue']",8,"['martha', 'ruby', 'nanny', 'north wind', 'miss coleman', 'little bo peep', 'old diamond', 'birdie brown']",1,['kilmeny'],male
m\1871_macdonald-ranald-bannermans-boyhood,0,[],0,[],0,[],male
m\1872_ballantyne-the-pioneers,13,"['lawrence', 'wolf', 'bluenose', 'ducette', 'darkeye', 'louis', 'reuben', 'scot', 'reuben guff', 'english chief', 'rocky mountains', 'fort chipewyan', 'alexander mackenzie']",3,"['muskrat', 'le roux', 'monsieur mackenzie']",2,"['coppernose', 'swiftarrow']",male
m\1872_macdonald-the-princess-and-the-goblin,8,"['peterson', 'peter', 'hop', 'helfer', 'tom', 'sir walter', 'royal highness', 'your majesty']",3,"['glump', 'lootie', 'princess irene']",2,"['curdie', 'harelip']",male
