book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1855_yonge-the-lances-of-lynwood,80,"['orthon', 'lances', 'charles', 'ferragus', 'pedro', 'thibault', 'montauban', 'chateau', 'baron', 'beranger', 'martin', 'bordeaux', 'ralph', 'burgos', 'fleche', 'froissart', 'bearn', 'montfort', 'leonard', 'tristan', 'castellane', 'gascon', 'earl', 'esquire', 'damoiseaux', 'castle', 'bordelais', 'montford', 'castile', 'abbot', 'gascony', 'clisson', 'mortimer', 'guy', 'buch', 'pierre', 'simon', 'borgne basque', 'provost marshal', 'master gaston', 'sir richard', 'lord edward', 'cousin agnes', 'edward iii', 'father cyril', 'lord harry', 'john chandos', 'leonard ashton', 'don enrique', 'sir john', 'master michael', 'sir philip', 'john ingram', 'messire oliver', 'master henry neville', 'eustace lynwood', 'sir squire', 'messire bertrand', 'uncle eustace', 'master arthur', 'thibault sanchez', 'blanc etoile', 'sir richard ferrars', 'sir henry', 'black wolf', 'chateau norbelle', 'lynwood keep', 'du guesclin', 'free companions', 'sir knight', 'sir fulk', 'sir philip ashton', 'reginald lynwood', 'montjoie st denis', 'sir reginald', 'ralph penrose', 'sir william felton', 'sir king', 'arthur lynwood', 'sir perduccas']",16,"['jean', 'maure', 'najara', 'brittany', 'pyrenees', 'crecy', 'aquitaine', 'knight banneret', 'lady agnes', 'lady maude', 'le borgne basque', 'fulk clarenham', 'dame eleanor lynwood', 'lady lynwood', 'dame eleanor', 'lady muriel']",6,"['albricorte', 'brigliador', 'navaretta', 'corasse', 'montagudo', 'zadorra']",female

1856_yonge-the-daisy-chain-or-aspirations,115,"['david', 'posthumus', 'caractacus', 'bucephalus', 'wight', 'tennyson', 'grey', 'ned', 'charles', 'thames', 'owen', 'gospel', 'hoxton', 'horace', 'miltiades', 'smith', 'eton', 'orion', 'undine', 'toby', 'fidele', 'george', 'whitford', 'noah', 'opossum', 'james', 'decius', 'jem', 'claudius', 'ritchie', 'francois', 'dr', 'shakespeare', 'claude', 'harvey', 'tom', 'jack', 'colin', 'dogberry', 'halls', 'euripides', 'ashe', 'roman', 'scot', 'hector', 'bruce', 'william', 'forder', 'dick', 'edward', 'alan', 'ulysses', 'rollo', 'atalantis', 'sam', 'tommy', 'apollo', 'alexander', 'sophocles', 'jem jennings', 'mr edward wilmot', 'master thomas', 'mr bramshaw', 'did margaret', 'mr ballhatchet', 'vana gloria', 'sir matthew', 'mr ward', 'george herbert', 'norman may', 'mr esdaile', 'bishop whichcote', 'reverend sir', 'norman ogilvie', 'willie brown', 'mr nicolson', 'nicholas randall', 'ned anderson', 'george larkins', 'decius mus', 'wild sports', 'mr richard', 'mr richard may', 'captain gordon', 'mr everard', 'sir matthew fleet', 'sir henry walkinghame', 'john taylor', 'master harry', 'uncle arnott', 'dr may', 'windsor fair', 'alan ernescliffe', 'sir henry', 'lord cosham', 'harry may', 'aubrey spencer', 'charles cheviot', 'mr hazlewood', 'dick may', 'hector ernescliffe', 'mr harrison', 'sam axworthy', 'edward anderson', 'mr wilmot', 'will adams', 'tom may', 'mr holloway', 'dr spencer', 'mr tomkins', 'harvey anderson', 'mr wllmot', 'mr ramsden', 'mr charles wilmot', 'mr norman']",67,"['gertrude', 'alcestis', 'lucy', 'coralie', 'agatha', 'easter', 'blanche', 'maggie', 'una', 'peg', 'daisy', 'frenchwoman', 'nipen', 'etheldred', 'margarita', 'fanny', 'susan', 'cherry', 'jill', 'marie', 'mat', 'louisa', 'anne', 'polly', 'mayflower', 'marjorie', 'mackenzie', 'jane', 'jenny', 'poor mary', 'miss walkingham', 'little aubrey', 'miss anderson', 'lady leonora', 'miss boulder', 'cherry elwood', 'lady glenbracken', 'venus victrix', 'louisa anderson', 'miss margaret', 'miss winter', 'poor ethel', 'flora may', 'poor harry', 'jane taylor', 'lucy taylor', 'etheldred may', 'daisy chain', 'poor norman', 'aunt flora', 'thy name', 'fanny anderson', 'poor may', 'leonora langdale', 'gertrude margaret', 'market stoneborough', 'mrs ledwich', 'flora ethel', 'miss rich', 'lyra innocentium', 'miss bracy', 'mary hale', 'miss walkinghame', 'miss athel', 'ethel norman', 'jane sparks', 'little meta']",15,"['unready', 'bellairs', 'settlesham', 'perkinson', 'ballompre', 'britons', 'poonshedagore', 'groveswood', 'cocksmoor', 'fordholm', 'drydale', 'maplewood', 'abbotstoke', 'abbotstoke grange', 'stoneborough minster']",female

1857_browne-grannys-wonderful-chair,9,"['screw', 'scrub', 'pounce', 'spy', 'spare', 'king winwealth', 'prince wisewit', 'wary will', 'squire trusty']",8,"['snowflower', 'faith feignless', 'childe charity', 'lady greensleeves', 'princess greedalind', 'dame frostyface', 'queen wantall', 'dame civil']",9,"['hardhold', 'buttertongue', 'fortunetta', 'hardhands', 'drypenny', 'fairfeather', 'loveleaves', 'tinseltoes', 'woodwender']",female

1857_tucker-the-rambles-of-a-rat,14,"['wisky', 'neddy', 'furry', 'bob', 'shabby', 'ratto', 'peter', 'shakespeare', 'mus', 'oddity', 'billy', 'matwei', 'captain blake', 'musk rat']",4,"['mary', 'parton', 'neva', 'vatka']",3,"['zibethicus', 'whiskerandos', 'dwishtswatshiksky']",female

1858_tucker-flora,8,"['john', 'saviour', 'brahmin', 'johnny', 'creator', 'sir amery', 'futtey sing', 'mr ward']",10,"['ada', 'lo', 'rajah', 'flora', 'alison', 'lyddie', 'emma', 'lady legrange', 'laurel bank', 'rajah futtey sing']",1,['wingsdale'],female

1860_yonge-countess-kate,21,"['arabs', 'miladi', 'charlie', 'poer', 'james', 'ernest', 'armyn', 'frank', 'bartley', 'charles', 'collect', 'orpheus', 'colonel umfraville', 'allan bane', 'mr brown', 'loch katrine', 'mr mercer', 'miladi barbe', 'mr wardour', 'cardinal wolsey', 'uncle giles']",31,"['mary', 'hilda', 'lily', 'diana', 'sylvia', 'adelaide', 'chancery', 'katie', 'josephine', 'alice', 'addie', 'frenchwoman', 'ellen', 'bohemia', 'hermione', 'lady jane', 'lady katharine', 'countess kate', 'lady barbara', 'poor kate', 'lady caergwent', 'lady fanny', 'sylvia wardour', 'mary wardour', 'amelia matilda bunny', 'sylvia joanna', 'lady ethelinda', 'aunt emily', 'lady barbara umfraville', 'crystal palace', 'miss oswald']",2,"['poers', 'oldburgh']",female

1860_yonge-the-pigeon-pie,20,"['naseby', 'charlie', 'cromwell', 'harry', 'dick', 'christian', 'mowbray', 'sylvester', 'diggory', 'diggory stokes', 'prince rupert', 'harry fletcher', 'master edmund', 'colonel enderby', 'master walter', 'king charles', 'edmund woodley', 'forest lea', 'sylvester enderby', 'farmer ewins']",10,"['anne', 'mary', 'deborah', 'deb', 'puritan', 'lucy', 'margery', 'eleanor', 'poor rose', 'lady woodley']",2,"['roundhead', 'partlet']",female

1861_yonge-the-stokesley-secret,25,"['osmond', 'samuel', 'david', 'georgy', 'ben', 'johnnie', 'harry', 'euclid', 'davy', 'halty', 'sam', 'martin', 'colenso', 'toby', 'george', 'george bowles', 'uncle john', 'sam henry', 'richard ii', 'toby fillpot', 'captain merrifield', 'colonel carey', 'master davie', 'farmer grice', 'osmond greville']",31,"['anne', 'bessie', 'mary', 'hannah', 'calliope', 'susie', 'susan', 'annie', 'elizabeth', 'georgie', 'dora', 'sukey', 'mildred', 'betty', 'sally', 'christabel', 'thy', 'nurse', 'bess', 'bet', 'sue', 'sarah', 'rhoda', 'miss croaker', 'miss fosbrook', 'christabel angela', 'nurse freeman', 'aunt alice', 'hannah higgins', 'miss merrifield', 'poor hal']",2,"['munsterthal', 'grandmamma']",female

1862_ewing-melchiors-dream-and-other-tales,44,"['john', 'bayard', 'gordon', 'jacques', 'joseph', 'antoine', 'james', 'ben', 'frenchman', 'sauveur', 'solomon', 'regy', 'richard', 'friedrich', 'edward', 'benjamin', 'viscount', 'vicomte', 'jacobin', 'cocky', 'baron', 'backyard', 'showman', 'monsieur', 'william', 'bluebeard', 'willie', 'louis', 'hop', 'bernard', 'uncle patrick', 'monsieur claude', 'ephraim garnett', 'monsieur crapaud', 'hans sachs', 'old brown', 'master arthur', 'mr lindsay', 'goody twoshoes', 'godfather time', 'adolphus brown', 'george herbert', 'bully tom', 'mr bartram']",19,"['selina', 'mag', 'geraldine', 'marie', 'valerie', 'madame', 'bessy', 'maud', 'minnie', 'lettice', 'providence', 'frau', 'sister anne', 'mother bunch', 'beauty bill', 'happy family', 'lady elizabeth', 'poor melchior', 'maud mary']",5,"['paterfamilias', 'petrarch', 'preceptor', 'burgomaster', 'materfamilias']",female

1863_tucker-the-crown-of-success,22,"['noun', 'puzzle', 'parade', 'alphabet', 'pronoun', 'dick', 'bother', 'adjective', 'matty', 'affection', 'verb', 'amusement', 'duty', 'geography', 'education', 'mr history', 'mr arithmetic', 'mr chemistry', 'mr learning', 'mr reading', 'dick lubin', 'mr fiction']",5,"['nelly', 'lady fashion', 'miss folly', 'dame desley', 'nelly desley']",1,['ologies'],female
